iter,step,seg,loss,gn_cum,indep_gn
1,19,ans_first,1.6116,59.0713,5.7204
1,19,cq,2.2794,63.4515,19.1685
1,19,ans_final,1.3879,64.0044,5.6306
1,20,ans_first,1.5667,5.5376,5.5376
1,20,cq,1.7696,13.9317,12.7230
1,20,ans_final,1.5032,14.5066,5.2469
1,20,ans_first,1.9066,16.1947,7.5857
1,20,cq,1.7714,45.3728,40.0913
1,20,ans_final,1.0579,46.0261,7.4057
1,20,ans_first,1.9416,46.2706,5.2441
1,20,cq,1.6053,49.9690,15.5010
1,20,ans_final,1.3866,50.0642,4.0588
1,20,ans_first,1.7817,50.4961,5.7907
1,20,cq,0.8938,52.5371,18.1723
1,20,ans_final,1.6507,52.6298,4.0019
1,20,ans_first,1.6604,52.9767,6.4511
1,20,cq,1.5958,55.9326,18.2302
1,20,ans_final,1.7345,56.5483,6.3053
1,20,ans_first,1.8581,57.2360,8.8072
1,20,cq,1.9963,65.9746,24.6557
1,20,ans_final,1.6065,66.1593,5.3263
1,20,ans_first,1.6318,66.7364,8.6090
1,20,cq,1.1589,72.1265,20.3887
1,20,ans_final,1.3562,72.8648,6.0021
1,20,ans_first,1.5780,72.9854,4.8638
1,20,cq,1.5066,78.3664,16.8808
1,20,ans_final,1.8269,78.7863,6.5182
1,21,ans_first,2.0660,8.2429,8.2429
1,21,cq,2.9290,31.1772,29.5810
1,21,ans_final,1.7561,31.5032,6.6430
1,21,ans_first,2.2287,33.3938,9.5358
1,21,cq,1.8568,37.8750,15.7184
1,21,ans_final,1.7394,38.3529,7.2593
1,21,ans_first,2.1154,39.2954,8.0318
1,21,cq,2.1910,42.8497,13.7467
1,21,ans_final,1.5562,43.3185,6.1363
1,21,ans_first,1.7512,43.7144,7.4408
1,21,cq,0.4279,44.8922,11.7367
1,21,ans_final,1.5356,45.3674,5.6827
1,21,ans_first,1.6306,45.3992,3.8068
1,21,cq,2.2369,50.9243,18.6968
1,21,ans_final,1.7324,51.3328,5.6757
1,21,ans_first,1.8446,51.5227,4.2830
1,21,cq,2.0164,55.6607,23.1546
1,21,ans_final,1.6300,56.0192,4.8972
1,21,ans_first,1.9186,56.5176,7.9995
1,21,cq,3.0340,62.5811,22.2464
1,21,ans_final,1.5217,63.3598,5.8675
1,21,ans_first,1.9202,63.9328,5.1205
1,21,cq,1.9168,66.3709,19.2298
1,21,ans_final,1.7557,67.0162,5.6057
1,22,ans_first,1.7263,6.0757,6.0757
1,22,cq,1.8902,25.6853,24.8656
1,22,ans_final,1.9979,26.3654,5.7968
1,22,ans_first,1.4593,26.5650,3.9429
1,22,cq,1.5675,31.2620,16.5637
1,22,ans_final,1.7710,31.9896,5.8570
1,22,ans_first,2.0676,32.5651,4.9158
1,22,cq,0.7529,37.2044,14.6974
1,22,ans_final,1.5336,37.4520,3.6031
1,22,ans_first,1.9637,38.4669,9.0677
1,22,cq,2.8802,40.7122,18.2046
1,22,ans_final,1.5599,41.0850,4.7275
1,22,ans_first,2.0717,42.7709,9.4532
1,22,cq,1.5897,45.2575,11.7905
1,22,ans_final,1.4758,45.5285,3.4254
1,22,ans_first,2.0372,46.1578,6.9531
1,22,cq,2.5295,52.0833,22.0400
1,22,ans_final,1.6965,52.5864,4.9629
1,22,ans_first,1.9477,52.7510,6.3450
1,22,cq,0.7322,52.7855,10.4787
1,22,ans_final,1.2894,53.0599,4.3174
1,22,ans_first,1.5784,53.3663,6.3383
1,22,cq,1.0772,61.0795,20.6319
1,22,ans_final,1.2816,61.6269,5.0565
1,23,ans_first,2.0061,7.9096,7.9096
1,23,cq,1.0662,18.0839,16.4929
1,23,ans_final,1.2867,18.6716,4.4236
1,23,ans_first,2.0022,19.9191,6.7049
1,23,cq,1.1361,26.4389,15.7532
1,23,ans_final,1.4894,26.7659,4.4658
1,23,ans_first,1.8856,27.4150,5.5060
1,23,cq,3.6729,36.0855,24.1138
1,23,ans_final,1.5394,36.4874,4.3981
1,23,ans_first,1.4865,36.9763,5.7574
1,23,cq,1.1028,41.7759,15.9210
1,23,ans_final,1.5496,42.4457,5.2971
1,23,ans_first,1.4911,42.7343,9.1727
1,23,cq,1.8025,48.9757,21.1750
1,23,ans_final,1.3935,49.3482,3.7712
1,23,ans_first,1.8519,50.1107,9.1634
1,23,cq,3.2252,59.3573,32.1988
1,23,ans_final,1.5877,59.6734,5.7731
1,23,ans_first,2.1511,60.7784,11.3069
1,23,cq,1.5634,64.7120,17.2372
1,23,ans_final,1.4875,65.0044,5.2049
1,23,ans_first,1.7022,65.2225,6.4075
1,23,cq,0.7206,70.9519,16.0451
1,23,ans_final,1.5517,71.3225,4.2260
1,24,ans_first,1.2370,6.5338,6.5338
1,24,cq,0.6770,15.8825,14.3579
1,24,ans_final,1.4261,16.7149,5.4216
1,24,ans_first,1.6360,17.5218,5.4861
1,24,cq,1.6319,31.2714,23.6277
1,24,ans_final,1.5188,31.5106,5.0353
1,24,ans_first,2.1743,32.3784,7.6943
1,24,cq,0.9014,37.3023,13.5382
1,24,ans_final,1.7790,37.7709,6.0208
1,24,ans_first,1.9703,38.3654,6.0891
1,24,cq,1.9984,45.3906,19.2086
1,24,ans_final,1.6592,45.8972,5.6652
1,24,ans_first,2.3315,46.2469,6.2396
1,24,cq,1.5526,51.3963,16.4656
1,24,ans_final,1.4943,51.8376,5.5823
1,24,ans_first,1.9202,51.9403,3.4984
